150000Y103K0,Y103,240704,0
SHD,,15:24
HLD,83,2
VBB,718

150000Y103M0,Y103,240727|30,0
JZD,,17:37
VBB,670

150000Y103N0,Y103,240806,0
SHD,,15:24
VBB,803

150000Y103O0,Y103,240814,0
SHD,,15:24
JZD,125,8
SBT,250,25
CCT,204,8
VBB,183

150000Y103P0,Y103,240828,0
SHD,,15:24
HLD,83,2
JZD,40,8
SBT,250,25
CCT,204,8
VBB,183

150000Y103Q0,Y103,240829,0
150000Y103R0,Y103,240902,0
PVD,,15:55
VBB,772

120000Y103J0,Y103,240906,0
SBT,,22:12
CCT,204,8
VBB,183

150000Y103S0,Y103,240909,0
SHD,,15:24
JZD,125,8
SBT,250,25
CCT,204,8
VBB,183

150000Y103T0,Y103,240915,0
PVD,,15:55
SBT,352,25
VBB,395

150000Y103U0,Y103,240916,0
SHD,,15:24
HBB,803

180000Y104A0,Y104,240615|0820,0
180000Y104E0,Y104,240617|0822,0
180000Y104G0,Y104,240618|0823,0
DHL,,18:25
SBT,630

180000Y104I0,Y104,240619|0824,0
DHL,,18:25
SHD,1141

180000Y104J0,Y104,240620|0903-04,0
180000Y104H0,Y104,240622|0905,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,211

180000Y104K0,Y104,240623|0910,0
180000Y104L0,Y104,240624|0911,0
180000Y104M0,Y104,240630|0912,0
180000Y104S0,Y104,240702|0909,0
180000Y104O0,Y104,240703|0913,0
180000Y104N0,Y104,240705|0916,0
DHL,,18:25
SBT,630

180000Y104P0,Y104,240708|0922,0
DHL,,18:25
SHD,1141

180000Y104R0,Y104,240709-10|0923,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,211,15
JZD,351,10
SHD,135

180000Y104Q0,Y104,240711|0929,0
180000Y104T0,Y104,240713|1006,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,211

180000Y104U0,Y104,240715|1023,0
DHL,,18:25
SBT,630

180000Y104W0,Y104,240723,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,211

180000Y104V0,Y104,240724,0
180000Y104Z0,Y104,240726,0
180000Y10410,Y104,240727,0
DHL,,18:25
SBT,630

180000Y10470,Y104,240728,0
JLL,,22:10
SBT,405

180000Y104X0,Y104,240730,0
180000Y10430,Y104,240731,0
DHL,,18:25
SBT,630

180000Y104F0,Y104,240801,0
180000Y10420,Y104,240802,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,211

180000Y10480,Y104,240804,0
180000Y10460,Y104,240805,0
DHL,,18:25
SBT,630

180000Y10490,Y104,240806,0
JLL,,22:10
SBT,405

180000Y104B0,Y104,240809|0908,0
180000Y104D0,Y104,240810,0
DHL,,18:25
SBT,630

180000Y104C0,Y104,240814,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,211

180000Y10450,Y104,240816,0
DHL,,18:25
SBT,630

570000Y104T0,Y101,241024,0
JGG,,19:47
VAG,76,16
赣州东,117,31
GZG,8,21
LUQ,213,16
DMQ,157,23
BJQ,111

570000Y104U0,Y104,241114,0
JGG,,19:47
BJQ,789

570000Y104S0,Y101,240926,0
JGG,,19:47
VAG,76,6
BJQ,727

550000Y11110,Y111,240703,0
SNH,,22:24
HZH,308,18
JBH,164,14
SRG,159,8
YTG,93,17
XTG,106,26
DAG,79,3
HSN,159

570000Y11110,Y111,240904,0
YTG,,11:28
XTG,103,26
VAG,153,6
赣州东,128,15
GZG,8,6
DNG,198,19
LUQ,76,16
DMQ,184,6
BJQ,68

570000Y11130,Y111,241019,0
YTG,,11:25
